params,score,return,sharpe,fees,trades
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.2246966012022382,0.19924318315171718,1.9924318315171718,2516.1202652678835,20
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.634105256721022,0.1790905152665594,1.790905152665594,2485.441812918283,20
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.7905639274454441,0.17102487040160597,1.7102487040160597,2456.7144787723337,20
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.8151730099121055,0.17045326306385977,1.7045326306385977,2484.742426411903,20
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.8391619872585678,0.16912557087524704,1.6912557087524704,2476.0873223327735,20
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.9204334741413491,0.1650130403748562,1.650130403748562,2464.766030496638,20
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-1.9496499805315963,0.16316324217799316,1.6316324217799316,2443.3553803501286,20
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-1.98585302029136,0.13984503450160024,1.3984503450160024,1435.04410911831,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-1.98585302029136,0.13984503450160024,1.3984503450160024,1435.04410911831,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-1.9930833354062443,0.13949698812827238,1.3949698812827238,1434.8692114432708,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-1.9930833354062443,0.13949698812827238,1.3949698812827238,1434.8692114432708,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.00745366283062,0.14014311747759356,1.4014311747759356,1496.9916752438987,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.0074536628306245,0.14014311747759334,1.4014311747759334,1496.9916752438987,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.0139927498851202,0.13848479321821294,1.3848479321821294,1434.0983715041916,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.0139927498851202,0.13848479321821294,1.3848479321821294,1434.0983715041916,15
